id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
75	discourse	-0.6517	0.0366	2	104	167	17	2018.6471	7.0588	0.6941
76	disparate impact	1.3395	0.0219	1	81	137	15	2018.8667	64.8	2.4578
77	disparity	1.2366	0.1254	1	120	293	31	2019.4194	27.8387	1.945
78	distribution	0.869	-0.0961	1	167	435	56	2018.875	9.7857	0.6143
79	diversity	0.5973	-0.1394	1	149	309	31	2019.3226	5.9032	0.5969
80	education	-0.578	-0.2596	2	140	293	35	2019.5714	8	0.8659
81	effectiveness	0.699	0.1623	1	153	345	39	2018.7179	19.4359	1.2844
82	efficiency	0.3421	0.14	1	128	253	35	2018.7429	5.0571	0.7349
83	emphasis	0.336	0.1048	1	74	87	11	2018.7273	18.4545	1.0753
84	empirical study	0.1306	0.6178	2	75	103	11	2019.2727	8.2727	1.0141
85	end	0.5227	-0.0171	1	109	187	23	2019.3913	8.1304	0.5498
86	equality	1.0293	0.3876	1	89	139	16	2019.1875	22.125	1.1456
87	error	0.4475	0.2866	1	166	386	42	2018.4762	17.2857	0.983
88	ethical consideration	-1.1037	-0.1236	2	83	139	15	2018.5333	9.0667	0.4877
89	ethical issue	-0.8518	0.2868	2	158	368	44	2018.3636	21.4318	1.4011
90	ethical principle	-0.965	0.0769	2	105	163	19	2018.6842	20.7368	1.1801
91	ethics	-1.0776	0.1318	2	169	715	88	2018.8977	10.9545	0.9203
92	expectation	-0.3387	0.3221	2	123	210	24	2018.5417	19.1667	1.3598
93	experience	-0.7862	-0.2987	2	154	370	44	2018.2727	6.0682	0.3195
94	experiment	0.446	0.0466	1	205	722	87	2018.4943	18.8851	1.0536
95	experimental result	1.1681	0.0141	1	74	103	14	2018.7143	9.2857	0.8383
96	explainability	-0.4792	-0.216	3	92	135	18	2019.5556	7	0.7841
97	fact	0.5226	0.383	1	136	246	27	2018.6296	6.2593	0.5294
98	fairness metric	1.3625	0.1885	1	121	368	40	2019.125	21.05	1.0333
99	feasibility	0.1812	-0.2808	3	76	98	12	2017.75	13.5833	0.8116
100	feature	0.6184	0.0803	1	179	521	63	2018.9048	10.0794	0.7662
101	field	-0.8933	-0.1001	2	173	474	60	2018.5	10.25	0.7114
102	formulation	0.5777	0.2888	1	106	172	20	2019.2	21.6	1.2096
103	freedom	-0.7826	-0.0394	3	105	137	11	2018.9091	6.2727	0.5663
104	function	0.5379	0.3706	1	174	483	55	2018.7636	16.0727	0.9287
105	future	-0.8122	0.5119	2	121	233	29	2018.4483	3.6897	0.3778
106	game	0.1006	0.5779	1	117	232	35	2017.6571	9.5714	0.5577
107	gdpr	-0.6987	-0.8119	3	130	352	31	2018.7097	16.0323	0.9397
108	gender	1.0798	-0.1941	1	163	513	56	2018.6429	19.5357	1.1119
109	good	0.265	-0.1648	1	110	170	22	2018	14.5455	0.8862
110	governance	-0.8393	0.0384	2	159	364	41	2018.8537	10.0976	0.9165
111	government	-0.4896	0.4923	2	99	172	20	2019.15	9	0.8343
112	group	0.687	0.0896	1	228	1207	135	2018.7407	20.5926	1.4641
113	group fairness	1.2937	0.3412	1	62	96	10	2019.2	13.4	1.0649
114	guarantee	1.0704	-0.3384	1	120	272	38	2018.2895	10.8684	0.6871
115	guideline	-1.0257	-0.4532	3	121	261	28	2019.1071	4.8929	0.435
116	healthcare	-0.7476	0.2461	3	58	82	10	2018.7	9.1	1.0915
117	human	-0.3988	0.6678	2	207	822	103	2018.5728	16.8835	0.9948
118	human behavior	0.0084	-0.0346	1	82	125	15	2017.7333	12.2667	0.5695
119	human robot interaction	-0.7303	0.9163	2	69	129	16	2018.1875	3.9375	0.3549
120	identification	-0.261	-0.7879	3	116	202	18	2018.7222	9.5	0.7171
121	image	0.7352	-0.5827	1	96	193	20	2019.2	7.05	0.6936
122	inequality	0.2631	0.4646	1	98	156	17	2019.3529	8.8824	1.2213
123	inference	-0.0186	-0.7266	3	139	274	30	2018.5333	32.5	1.4534
124	innovation	-0.9458	0.3456	2	77	125	15	2018.9333	7.9333	0.7839
125	input	0.6044	-0.3744	1	152	326	40	2018.6	18.675	1.0411
126	input data	0.7013	-0.7372	1	72	102	12	2019.0833	14.5833	0.9999
127	instance	0.7852	-0.3894	1	114	204	24	2018.9583	12.1667	0.8074
128	integration	-0.8067	-0.3592	2	86	150	17	2019.0588	6.8235	1.2721
129	intelligent system	-1.068	0.2444	2	67	118	16	2018.75	7	0.4128
130	intention	-0.2161	0.441	2	91	132	16	2018.5	12.8125	0.839
131	interaction	-0.6025	0.5113	2	198	695	82	2018.3659	9.061	0.5353
132	internet	-0.6342	-0.8804	3	111	229	27	2017.4444	15	0.657
133	interpretability	0.0984	-0.1377	1	105	166	22	2018.9091	41.2727	2.697
134	interpretation	-0.1461	-0.467	3	119	211	22	2018.5455	12	0.827
135	iot	-0.8278	-1.0166	3	55	125	12	2017.5	19.8333	1.0114
136	item	1.158	0.1394	1	100	241	32	2018.5938	15	1.0351
137	label	0.9887	-0.4421	1	113	229	24	2019	16.0833	1.0432
138	law	-0.7098	-0.2366	3	170	453	47	2018.383	23.617	1.3729
139	learning	0.2576	-0.0472	1	230	1207	157	2018.9873	17.414	1.3572
140	lesson	-0.0918	-0.3618	3	95	141	16	2019.3125	7.375	3.8395
141	leverage	-0.0855	0.5784	2	80	115	12	2018.6667	7.5833	0.8481
142	list	0.6384	0.4374	1	93	142	15	2018.8	11.6	0.6978
143	logic	-0.8579	0.0758	2	106	177	22	2018.3182	42.8636	2.4292
144	machine ethic	-1.1082	0.4595	2	46	82	10	2017.6	37	2.0378
145	majority	0.416	-0.0587	1	92	130	14	2019.2857	4.1429	0.5606
146	man	0.7188	-0.3334	1	68	94	10	2017.8	28.2	1.4728
147	map	-0.0717	-0.8026	3	99	146	17	2018.3529	38.7647	1.9086
148	meaning	-0.198	0.4036	2	97	136	17	2018.5294	8.9412	0.5078
149	measure	0.5424	0.0251	1	205	673	74	2018.7162	26.3243	1.5526
150	member	0.5462	0.4983	1	107	172	18	2017.8889	10.8889	0.6962
151	metric	0.8516	-0.1304	1	141	283	33	2019.2121	12.2727	0.9017
152	mind	-0.3647	0.5054	2	82	116	12	2017.8333	11.5	0.7731
153	moral value	-1.016	0.5312	2	76	124	15	2018.6667	5.5333	0.6236
154	motivated	0.7918	0.3837	1	73	93	10	2019.2	7.6	0.5535
155	network	0.3358	-0.529	1	185	541	62	2018.871	16.9677	1.3802
156	norm	-0.6951	0.6471	2	162	456	58	2017.9483	8.8621	0.4922
157	notion	0.8029	0.3282	1	200	774	96	2018.8438	20.9792	1.1704
158	operation	-0.3924	-0.2658	3	105	162	20	2018.4	31.3	1.5211
159	opinion	0.1335	0.2236	2	121	196	22	2018.2727	20.3636	0.7955
160	optimization	0.7402	0.3891	1	70	109	15	2018.2	30.9333	1.4323
161	organization	-0.686	-0.0897	2	131	238	31	2018.4516	21.0645	1.7921
162	outcome	0.5165	0.4643	1	193	599	77	2018.9221	15.8961	0.8796
163	output	0.4353	-0.3539	1	159	364	42	2018.5238	14.9048	0.9272
164	patient	-0.6377	-0.4691	3	83	119	14	2019.2143	32.6429	3.8365
165	perception	-0.3183	0.3779	2	143	319	40	2018.775	9.975	0.8059
166	performance	0.6218	-0.1869	1	203	701	80	2018.625	11.9	0.8184
167	personal data	-0.4296	-0.8431	3	101	188	24	2017.5417	15.0417	0.6815
168	personalization	0.044	-0.3559	3	54	66	11	2018.4545	16.2727	1.1789
169	philosophy	-0.6547	0.388	2	127	220	24	2018.625	10.0417	1.0729
170	place	-0.2682	-0.1397	2	125	199	23	2018.9565	7.5652	0.7912
171	policy maker	-0.2477	0.6999	2	85	122	13	2018.5385	23.1538	2.3863
172	politic	-0.2528	0.2304	2	72	102	11	2019.0909	11.1818	0.6624
173	population	0.5892	0.2036	1	175	401	49	2018.7755	16.1837	1.509
174	practitioner	-0.6647	-0.1078	2	128	266	31	2019.3226	12.7742	1.0429
175	prediction	0.5456	-0.1421	1	182	575	73	2019.0411	19.3288	1.1549
176	preference	0.1536	0.3481	1	164	353	47	2018	16.7447	0.9
177	presence	0.4529	0.4994	1	97	154	15	2018.3333	8.4	0.6342
178	privacy	-0.2675	-0.6082	3	215	995	126	2017.8333	15.2063	1.0712
179	privacy risk	-0.2131	-0.8653	3	104	190	21	2017.619	9.3333	0.4452
180	probability	1.0083	0.2605	1	114	217	25	2018.84	9.56	0.5988
181	procedure	0.7742	-0.3177	1	113	191	23	2018.8696	9.913	0.7346
182	project	-0.691	-0.0449	2	126	216	28	2018.4643	11.3214	1.1678
183	property	0.5713	-0.2633	1	189	587	74	2018.527	10.7703	0.6841
184	protected group	1.2219	0.3364	1	76	131	13	2019	15.0769	1.0056
185	protection	-0.1386	-0.6979	3	127	233	28	2017.5714	17.0714	0.9073
186	provision	-0.8551	-0.7384	3	104	231	20	2018.5	16.35	0.9871
187	proxy	0.8646	-0.3217	1	79	117	14	2018.8571	40.4286	3.1706
188	public	-0.2394	-0.0082	2	122	217	22	2018.4545	9.3636	0.9131
189	quality	0.5061	-0.3723	1	175	445	53	2018.4906	11.6038	0.9242
190	query	0.6767	-0.4816	1	108	186	20	2018.45	14.35	1.0818
191	race	1.0817	0.0455	1	161	501	52	2019.1154	18.9808	1.3769
192	ranking	1.2747	0.1399	1	87	199	21	2018.619	18.1429	0.9991
193	reality	-0.2481	0.2663	2	111	163	19	2018.8421	11.3158	1.0137
194	reasoning	-0.5486	0.5411	2	150	317	43	2018.6279	8.7442	0.5614
195	recommender system	1.0171	0.0898	1	64	108	17	2019.2353	9	0.8118
196	regulation	-0.86	-0.2728	3	169	457	46	2018.3043	25.8043	1.3943
197	regulator	-0.4342	0.1922	3	71	94	13	2019	6.4615	0.4869
198	relation	-0.3294	0.5502	2	132	245	30	2018.5333	10.8667	0.8555
199	relationship	-0.72	0.3109	2	163	392	45	2018.3556	11.9778	1.0502
200	representation	0.4119	0.2362	1	179	429	50	2019.04	7.06	0.5342
201	requirement	-0.5199	-0.5062	3	157	383	46	2018.3913	7.2826	0.381
202	researcher	-0.5485	-0.011	2	177	495	64	2018.4844	17.1562	1.1821
203	respect	0.7649	-0.0489	1	188	529	58	2018.6897	21.5172	1.4379
204	responsibility	-1.017	0.0739	2	137	333	41	2018.9024	7.7805	0.7867
205	reward	0.2591	0.8858	1	84	146	18	2018.6667	7.5	0.7781
206	right	-0.6515	-0.6118	3	166	476	49	2018.4082	12.2857	0.741
207	robot	-0.7826	0.6272	2	184	666	95	2018.0737	12.2947	0.7203
208	robustness	0.3409	-0.6506	1	93	131	14	2018.9286	8.5	0.9997
209	role	-0.6009	0.1473	2	211	720	88	2018.7955	9.0682	0.7372
210	safety	0.0174	0.2948	3	150	357	48	2018.2917	21.8542	1.6363
211	sample	0.6902	-0.1553	1	114	189	22	2019.0909	6.7273	0.524
212	scope	-0.312	-0.2859	3	77	102	14	2018.2143	7.0714	0.461
213	score	1.0077	-0.1943	1	135	313	32	2019.0312	22.0625	1.6737
214	search engine	0.8424	-0.2413	1	110	196	20	2018.2	17	0.9686
215	security	-0.5094	-0.5241	3	140	314	41	2018.0488	18.5122	1.8392
216	selection	0.86	0.2712	1	120	245	30	2018.3	12.3	0.5992
217	self	-0.6807	0.4257	2	100	149	15	2017.8667	12.5333	1.6837
218	sense	-0.3194	0.6057	2	115	192	23	2019.087	6.6522	0.6664
219	sensitive attribute	1.4395	-0.086	1	95	209	20	2018.75	23.05	1.0406
220	series	-0.3438	0.5988	2	102	161	21	2018.4286	14.7619	1.5181
221	simulation	0.278	0.7249	1	135	297	36	2018.2222	9.4444	0.6141
222	size	0.6032	-0.0567	1	102	174	22	2018.9545	9.1364	0.8366
223	social medium	0.1052	-0.2372	2	97	144	21	2018	14.5714	0.9595
224	social robot	-1.0089	0.7065	2	59	108	14	2018.5	10.7857	0.5745
225	social science	-0.451	-0.2648	2	68	95	12	2018.5	6	0.8688
226	society	-0.5907	0.28	2	218	858	101	2018.4851	15.9802	0.9166
227	stakeholder	-0.5697	0.3517	2	154	299	34	2018.7941	9.1765	0.8251
228	standard	-0.4786	-0.3156	3	142	266	25	2019	16.6	1.2098
229	strength	-0.2751	-0.5209	3	90	121	13	2019.3077	4.0769	0.2689
230	student	-0.7562	-0.348	2	73	145	20	2018.9	4.75	0.3308
231	subset	0.7869	-0.0359	1	110	164	18	2018.6667	11.1111	0.5493
232	support	-0.2737	0.6907	2	133	259	30	2019.1	15	1.2041
233	surveillance	-0.3465	-0.2997	2	81	119	13	2017.8462	16.5385	0.747
234	survey	-0.493	-0.1373	2	142	283	36	2018.7222	38.4722	2.9543
235	technology	-0.8084	-0.1326	2	217	1053	129	2018.6047	10.9535	0.8588
236	test	0.3321	-0.0214	1	131	209	27	2018.4815	28.1481	1.279
237	text	0.4143	-0.6995	1	100	175	19	2018.3684	11.7368	0.6579
238	threat	-0.6355	0.5662	2	84	125	18	2018.1111	16.3333	0.9186
239	top	0.5056	0.1586	1	87	131	13	2017.8462	17.2308	0.9365
240	topic	-0.2798	-0.0956	2	164	368	44	2018.4773	12.8636	0.826
241	trade off	0.8705	0.22	1	171	418	52	2018.9615	17.2885	2.0482
242	training	0.4579	0.3312	1	136	295	33	2019.1212	18.6061	1.5984
243	training data	0.4671	-0.4836	1	136	236	25	2019.16	14.68	1.235
244	trust	-0.8477	-0.0286	2	169	483	62	2018.7097	9.5484	0.7579
245	uncertainty	0.1736	0.1532	1	94	130	16	2019	18.25	0.9518
246	unfairness	1.1363	0.4107	1	113	251	26	2018.8077	23.2692	1.2774
247	user study	-0.0415	0.5256	2	68	92	12	2019.1667	8.1667	0.7915
248	utility	0.9175	0.3311	1	157	413	47	2018.9574	14.0638	0.9787
249	variant	1.1133	-0.2389	1	87	138	15	2019	16.8667	1.2651
250	video	-0.141	-0.5793	3	94	140	16	2018	12.1875	0.5419
251	weakness	-0.7128	-0.6391	3	103	178	16	2018.25	43.4375	2.5647
252	woman	0.9379	-0.4164	1	99	176	18	2018.6667	17.1111	1.0363
253	word	0.2723	-0.122	1	108	156	19	2019.2105	8.2632	0.8792
